date,sp500,nikkei225,hangseng
2002-02-20,1097.98,9834.13,10749.1
2002-02-21,1080.95,10295.42,10788.9
2002-02-22,1089.84,10356.78,10664.9
2002-02-25,1109.43,10296.47,10496.0
2002-02-26,1109.38,10202.63,10547.1
2002-02-27,1109.89,10573.09,10648.7
2002-02-28,1106.73,10587.83,10482.5
2002-03-01,1131.78,10812.0,10425.3
2002-03-04,1153.84,11450.22,10704.1
2002-03-05,1146.14,11348.45,10985.8
2002-03-06,1162.77,11358.53,11003.0
2002-03-07,1157.54,11648.34,11188.1
2002-03-08,1164.31,11885.79,11233.2
2002-03-11,1168.26,11919.3,11318.9
2002-03-12,1165.58,11607.33,11273.9
2002-03-13,1154.09,11415.31,11217.5
2002-03-14,1153.04,11568.82,11303.7
2002-03-15,1166.16,11648.01,11210.2
2002-03-18,1165.55,11498.38,11230.6
2002-03-19,1170.29,11792.82,11222.8
2002-03-20,1151.85,11526.78,11036.6
2002-03-21,1153.59,,10829.7
2002-03-22,1148.7,11345.08,10863.1
2002-03-25,1131.87,11261.09,10836.6
2002-03-26,1138.49,11207.92,10786.9
2002-03-27,1144.58,11323.68,10987.9
2002-03-28,1147.39,11333.11,11032.9
2002-04-01,1146.54,11028.7,
2002-04-02,1136.76,11204.49,10878.0
2002-04-03,1125.4,11400.71,10834.0
2002-04-04,1126.34,11379.2,10831.4
2002-04-05,1122.73,11335.49,
2002-04-08,1125.29,11352.89,10723.7
2002-04-09,1117.8,11114.49,10733.7
2002-04-10,1130.47,11218.58,10643.1
2002-04-11,1103.69,11147.27,10744.9
2002-04-12,1111.01,10962.98,10710.5
2002-04-15,1102.55,11137.3,10728.0
2002-04-16,1128.37,11346.66,10788.5
2002-04-17,1126.07,11543.71,11090.6
2002-04-18,1124.47,11575.73,11217.2
2002-04-19,1125.17,11512.01,11252.2
2002-04-22,1107.83,11721.64,11139.4
2002-04-23,1100.96,11736.83,11345.2
2002-04-24,1093.14,11672.88,11396.6
2002-04-25,1091.48,11648.72,11409.3
2002-04-26,1076.32,11541.39,11385.1
2002-04-29,1065.45,,11361.5
2002-04-30,1076.92,11492.54,11497.6
2002-05-01,1086.46,11552.79,
2002-05-02,1084.56,11551.01,11780.1
2002-05-03,1073.43,,11797.2
2002-05-06,1052.67,,11736.2
2002-05-07,1049.49,11316.04,11796.0
2002-05-08,1088.85,11520.75,11768.3
2002-05-09,1073.01,11633.3,11700.8
2002-05-10,1054.99,11531.11,11645.9
2002-05-13,1074.56,11336.95,11733.4
2002-05-14,1097.28,11356.19,11690.3
2002-05-15,1091.07,11642.97,11838.4
2002-05-16,1098.23,11738.69,11832.8
2002-05-17,1106.59,11847.32,11974.6
2002-05-20,1091.88,11856.54,
2002-05-21,1079.88,11801.16,11753.3
2002-05-22,1086.02,11961.98,11795.2
2002-05-23,1097.08,11979.85,11624.8
2002-05-24,1083.82,11976.28,11626.8
2002-05-28,1074.55,11936.08,11581.6
2002-05-29,1067.66,11853.0,11430.7
2002-05-30,1064.66,11770.03,11380.6
2002-05-31,1067.14,11763.7,11301.9
2002-06-03,1040.68,11901.39,11359.8
2002-06-04,1040.69,11653.07,11312.5
2002-06-05,1049.9,11663.87,11402.4
2002-06-06,1029.15,11574.94,11380.8
2002-06-07,1027.53,11438.53,11284.7
2002-06-10,1030.74,11370.21,11288.8
2002-06-11,1013.6,11449.44,11215.0
2002-06-12,1020.26,11327.06,11148.0
2002-06-13,1009.56,11144.84,11119.3
2002-06-14,1007.27,10920.63,10955.5
2002-06-17,1036.17,10664.11,10832.3
2002-06-18,1037.14,10839.93,10852.0
2002-06-19,1019.99,10476.18,10673.1
2002-06-20,1006.29,10612.98,10754.4
2002-06-21,989.14,10354.35,10591.9
2002-06-24,992.72,10471.32,10657.3
2002-06-25,976.14,10496.67,10609.0
2002-06-26,973.53,10074.56,10355.9
2002-06-27,990.64,10261.6,10518.1
2002-06-28,989.82,10621.84,10598.5
2002-07-01,968.65,10595.44,
2002-07-02,948.09,10622.32,10491.8
2002-07-03,953.99,10812.3,10579.2
2002-07-05,989.03,10826.09,10806.2
2002-07-08,976.98,10769.2,10803.5
2002-07-09,952.83,10960.25,10843.2
2002-07-10,920.47,10752.66,10787.5
2002-07-11,927.37,10485.74,10558.8
2002-07-12,921.39,10601.45,10648.3
2002-07-15,917.93,10375.15,10581.7
2002-07-16,900.94,10250.42,10421.5
2002-07-17,906.04,10296.02,10335.1
2002-07-18,881.56,10498.26,10452.5
2002-07-19,847.75,10202.36,10325.5
2002-07-22,819.85,10189.01,10110.2
2002-07-23,797.7,10215.63,10313.9
2002-07-24,843.43,9947.72,9971.99
2002-07-25,838.68,9929.91,9884.78
2002-07-26,852.84,9591.03,9773.12
2002-07-29,898.96,9666.67,9975.99
2002-07-30,902.78,10003.72,10155.2
